,index,precio,fecha
0,1,67.91,2019-01-01T00:00:00.000+01:00
1,2,59.79,2019-02-01T00:00:00.000+01:00
2,3,54.08,2019-03-01T00:00:00.000+01:00
3,4,56.540000000000006,2019-04-01T00:00:00.000+02:00
4,5,53.71,2019-05-01T00:00:00.000+02:00
5,6,52.11000000000001,2019-06-01T00:00:00.000+02:00
6,7,56.65,2019-07-01T00:00:00.000+02:00
7,8,49.15,2019-08-01T00:00:00.000+02:00
8,9,46.76000000000001,2019-09-01T00:00:00.000+02:00
9,10,52.17,2019-10-01T00:00:00.000+02:00
10,11,48.23,2019-11-01T00:00:00.000+01:00
11,12,41.120000000000005,2019-12-01T00:00:00.000+01:00
12,13,46.87,2020-01-01T00:00:00.000+01:00
13,14,41.339999999999996,2020-02-01T00:00:00.000+01:00
14,15,33.13,2020-03-01T00:00:00.000+01:00
15,16,25.18,2020-04-01T00:00:00.000+02:00
16,17,27.279999999999994,2020-05-01T00:00:00.000+02:00
17,18,35.98,2020-06-01T00:00:00.000+02:00
18,19,39.97,2020-07-01T00:00:00.000+02:00
19,20,41.00000000000001,2020-08-01T00:00:00.000+02:00
20,21,47.41,2020-09-01T00:00:00.000+02:00
21,22,42.63,2020-10-01T00:00:00.000+02:00
22,23,48.08,2020-11-01T00:00:00.000+01:00
23,24,48.91,2020-12-01T00:00:00.000+01:00
24,25,70.10000000000001,2021-01-01T00:00:00.000+01:00
25,26,36.69,2021-02-01T00:00:00.000+01:00
26,27,51.92,2021-03-01T00:00:00.000+01:00
27,28,71.42,2021-04-01T00:00:00.000+02:00
28,29,73.89,2021-05-01T00:00:00.000+02:00
29,30,87.11,2021-06-01T00:00:00.000+02:00
30,31,96.28999999999999,2021-07-01T00:00:00.000+02:00
31,32,111.28999999999999,2021-08-01T00:00:00.000+02:00
32,33,160.48,2021-09-01T00:00:00.000+02:00
33,34,209.08999999999997,2021-10-01T00:00:00.000+02:00
34,35,203.70000000000002,2021-11-01T00:00:00.000+01:00
35,36,251.53000000000003,2021-12-01T00:00:00.000+01:00
36,37,209.76000000000002,2022-01-01T00:00:00.000+01:00
37,38,205.53999999999996,2022-02-01T00:00:00.000+01:00
38,39,294.19,2022-03-01T00:00:00.000+01:00
39,40,202.73000000000002,2022-04-01T00:00:00.000+02:00
40,41,195.45999999999998,2022-05-01T00:00:00.000+02:00
41,42,175.34,2022-06-01T00:00:00.000+02:00
42,43,149.38000000000002,2022-07-01T00:00:00.000+02:00
43,44,161.76,2022-08-01T00:00:00.000+02:00
44,45,151.33999999999997,2022-09-01T00:00:00.000+02:00
45,46,138.66000000000003,2022-10-01T00:00:00.000+02:00
46,47,124.53,2022-11-01T00:00:00.000+01:00
47,48,113.80000000000001,2022-12-01T00:00:00.000+01:00
