,categoria,fecha,precio_promedio
0,agua,2019-01-01,1.57
1,agua,2019-02-01,1.57
2,agua,2019-03-01,1.57
3,agua,2019-04-01,1.57
4,agua,2019-05-01,1.57
5,agua,2019-06-01,1.57
6,agua,2019-07-01,1.57
7,agua,2019-08-01,1.57
8,agua,2019-09-01,1.57
9,agua,2019-10-01,1.57
10,agua,2019-11-01,1.57
11,agua,2019-12-01,1.57
12,agua,2020-01-01,1.65
13,agua,2020-02-01,1.65
14,agua,2020-03-01,1.65
15,agua,2020-04-01,1.65
16,agua,2020-05-01,1.65
17,agua,2020-06-01,1.65
18,agua,2020-07-01,1.65
19,agua,2020-08-01,1.65
20,agua,2020-09-01,1.65
21,agua,2020-10-01,1.65
22,agua,2020-11-01,1.65
23,agua,2020-12-01,1.65
24,agua,2021-01-01,1.65
25,agua,2021-02-01,1.65
26,agua,2021-03-01,1.65
27,agua,2021-04-01,1.65
28,agua,2021-05-01,1.65
29,agua,2021-06-01,1.65
30,agua,2021-07-01,1.65
31,agua,2021-08-01,1.65
32,agua,2021-09-01,1.65
33,agua,2021-10-01,1.65
34,agua,2021-11-01,1.65
35,agua,2021-12-01,1.65
36,agua,2022-01-01,1.80
37,agua,2022-02-01,1.80
38,agua,2022-03-01,1.80
39,agua,2022-04-01,1.80
40,agua,2022-05-01,1.80
41,agua,2022-06-01,1.80
42,agua,2022-07-01,1.80
43,agua,2022-08-01,1.80
44,agua,2022-09-01,1.80
45,agua,2022-10-01,1.80
46,agua,2022-11-01,1.80
47,agua,2022-12-01,1.80
